PublicationID,PMID,Original_Title,Standard_Title,Authors,Year,Journal,DOI,StudyType,Disease,RelatedGenes,RelatedProteins,RelatedPathways,RelatedDrugs,MainFinding,EvidenceLevel,PubMed_URL,DataSource,Normalization_Status,Remark
P077,25774992,Analysis of expression of programmed cell death 1 ligand 1 (PD-L1) in malignant pleural mesothelioma (MPM),Analysis of expression of programmed cell death 1 ligand 1 (PD-L1) in malignant pleural mesothelioma (MPM),Cedrés S et al.,2015,PLoS One,10.1371/journal.pone.0121071,Biomarker study,Malignant pleural mesothelioma,CD274,PD-L1,PD-1 signaling pathway,,PD-L1 expression was evaluated as a prognostic and predictive biomarker in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/25774992/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P078,29105302,PD-L1 expression associated with worse survival outcome in malignant pleural mesothelioma,PD-L1 expression associated with worse survival outcome in malignant pleural mesothelioma,Nguyen BH et al.,2018,Asia-Pacific Journal of Clinical Oncology,10.1111/ajco.12788,Clinical biomarker study,Malignant pleural mesothelioma,CD274,PD-L1,PD-1 signaling pathway,,PD-L1 positivity was associated with poorer survival outcomes.,High,https://pubmed.ncbi.nlm.nih.gov/29105302/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P079,30145072,"Nuclear grading, BAP1, mesothelin and PD-L1 expression in malignant pleural mesothelioma: prognostic implications","Nuclear grading, BAP1, mesothelin and PD-L1 expression in malignant pleural mesothelioma: prognostic implications",Forest F et al.,2018,Pathology,10.1016/j.pathol.2018.05.002,Prognostic biomarker study,Malignant pleural mesothelioma,BAP1; MSLN; CD274,BAP1; Mesothelin; PD-L1,PD-1 signaling pathway,,"Investigated BAP1, mesothelin and PD-L1 expression as prognostic markers.",High,https://pubmed.ncbi.nlm.nih.gov/30145072/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P080,33062064,PD-L1 and prognosis in patients with malignant pleural mesothelioma: a meta-analysis and bioinformatics study,PD-L1 and prognosis in patients with malignant pleural mesothelioma: a meta-analysis and bioinformatics study,Liu J et al.,2020,Therapeutic Advances in Medical Oncology,10.1177/1758835920962362,Meta-analysis,Malignant pleural mesothelioma,CD274,PD-L1,PD-1 signaling pathway,,Meta-analysis evaluated the prognostic value of PD-L1 expression in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/33062064/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P081,30278643,BAP1 immunohistochemistry in pleural mesothelioma: diagnostic and prognostic implications,BAP1 immunohistochemistry in pleural mesothelioma: diagnostic and prognostic implications,Hida T et al.,2018,Lung Cancer,10.1016/j.lungcan.2018.06.006,Diagnostic study,Malignant pleural mesothelioma,BAP1,BAP1,DNA repair pathway,,BAP1 loss is a useful diagnostic marker for pleural mesothelioma.,High,https://pubmed.ncbi.nlm.nih.gov/30278643/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P082,30504752,The role of BAP1 and other biomarkers in malignant mesothelioma diagnosis,The role of BAP1 and other biomarkers in malignant mesothelioma diagnosis,Farzin M et al.,2019,Pathology Research and Practice,10.1016/j.prp.2018.11.006,Review,Malignant pleural mesothelioma,BAP1; CDKN2A,BAP1; MTAP,Cell cycle pathway,,Reviews molecular biomarkers for differential diagnosis of mesothelioma.,High,https://pubmed.ncbi.nlm.nih.gov/30504752/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P084,32305010,The diagnostic value of mesothelin in malignant pleural mesothelioma: a meta-analysis,The diagnostic value of mesothelin in malignant pleural mesothelioma: a meta-analysis,Huang C et al.,2020,BMC Cancer,10.1186/s12885-020-06820-5,Meta-analysis,Malignant pleural mesothelioma,MSLN,Mesothelin,Diagnostic biomarker pathway,,Meta-analysis evaluates mesothelin diagnostic performance.,High,https://pubmed.ncbi.nlm.nih.gov/32305010/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P088,31200938,Nivolumab in patients with unresectable malignant pleural mesothelioma: Japanese phase II study,Nivolumab in patients with unresectable malignant pleural mesothelioma: Japanese phase II study,Okada M et al.,2019,Clinical Cancer Research,10.1158/1078-0432.CCR-18-3545,Clinical trial,Malignant pleural mesothelioma,PDCD1,PD-1,PD-1 signaling pathway,Nivolumab,Nivolumab demonstrated activity in relapsed MPM.,High,https://pubmed.ncbi.nlm.nih.gov/31200938/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P089,33446595,Molecular classification and immune landscape of malignant pleural mesothelioma,Molecular classification and immune landscape of malignant pleural mesothelioma,Alì G et al.,2021,Journal of Thoracic Oncology,10.1016/j.jtho.2020.11.011,Molecular study,Malignant pleural mesothelioma,BAP1; NF2; CDKN2A; CD274,BAP1; PD-L1,Immune checkpoint pathway; Hippo signaling pathway,,Integrates molecular alterations with immune microenvironment features.,High,https://pubmed.ncbi.nlm.nih.gov/33446595/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P090,40578509,"Immune composition and immunotherapy outcomes of mesothelioma with BAP1, CDKN2A, MTAP and NF2 alterations","Immune composition and immunotherapy outcomes of mesothelioma with BAP1, CDKN2A, MTAP and NF2 alterations",Chen Z et al.,2025,Journal of Thoracic Oncology,10.1016/j.jtho.2025.06.018,Computational/clinical study,Malignant pleural mesothelioma,BAP1; CDKN2A; MTAP; NF2,BAP1; MTAP; NF2,Immune checkpoint pathway,Immunotherapy,Associates genomic alterations with immune composition and therapy response.,High,https://pubmed.ncbi.nlm.nih.gov/40578509/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
